--- Tier B-5: 24h Soak Test Script ---
Soak test started. Logging to /home/dogsinatas/TypeScript_project/antigravity-extension-vis/data/soak_metrics.csv every 1 minute.
Random load: 1 Ping/sec, 1 Snapshot/10s, 1 Harvest/30s.
[2026-06-24T08:28:12.830Z] Telemetry Appended: Heap=124.67MB, Ping P99=2.37ms, Snap P99=1.48ms
[2026-06-24T08:29:12.831Z] Telemetry Appended: Heap=125.06MB, Ping P99=2.06ms, Snap P99=1.95ms
[2026-06-24T08:30:12.833Z] Telemetry Appended: Heap=125.39MB, Ping P99=2.17ms, Snap P99=2.27ms
[2026-06-24T08:31:12.836Z] Telemetry Appended: Heap=125.74MB, Ping P99=2.26ms, Snap P99=2.27ms
[2026-06-24T08:32:12.839Z] Telemetry Appended: Heap=125.21MB, Ping P99=2.70ms, Snap P99=2.41ms
[2026-06-24T08:33:12.842Z] Telemetry Appended: Heap=125.54MB, Ping P99=2.19ms, Snap P99=2.33ms
[2026-06-24T08:34:12.848Z] Telemetry Appended: Heap=125.86MB, Ping P99=2.04ms, Snap P99=2.13ms
[2026-06-24T08:35:12.848Z] Telemetry Appended: Heap=126.33MB, Ping P99=2.09ms, Snap P99=3.12ms
[2026-06-24T08:36:12.846Z] Telemetry Appended: Heap=126.09MB, Ping P99=2.00ms, Snap P99=1.89ms
[2026-06-24T08:37:12.850Z] Telemetry Appended: Heap=126.34MB, Ping P99=1.75ms, Snap P99=2.14ms
[2026-06-24T08:38:12.855Z] Telemetry Appended: Heap=126.58MB, Ping P99=1.79ms, Snap P99=2.19ms
[2026-06-24T08:39:12.856Z] Telemetry Appended: Heap=126.80MB, Ping P99=1.85ms, Snap P99=2.04ms
[2026-06-24T08:40:12.855Z] Telemetry Appended: Heap=126.20MB, Ping P99=1.75ms, Snap P99=1.90ms
[2026-06-24T08:41:12.860Z] Telemetry Appended: Heap=126.39MB, Ping P99=1.74ms, Snap P99=1.61ms
[2026-06-24T08:42:12.865Z] Telemetry Appended: Heap=126.60MB, Ping P99=1.79ms, Snap P99=1.81ms
[2026-06-24T08:43:12.867Z] Telemetry Appended: Heap=126.81MB, Ping P99=1.73ms, Snap P99=1.74ms
[2026-06-24T08:44:12.869Z] Telemetry Appended: Heap=126.97MB, Ping P99=1.79ms, Snap P99=1.97ms
[2026-06-24T08:45:12.872Z] Telemetry Appended: Heap=126.38MB, Ping P99=1.77ms, Snap P99=1.91ms
[2026-06-24T08:46:12.878Z] Telemetry Appended: Heap=126.40MB, Ping P99=1.74ms, Snap P99=1.71ms
[2026-06-24T08:47:12.880Z] Telemetry Appended: Heap=126.44MB, Ping P99=1.73ms, Snap P99=1.77ms
[2026-06-24T08:48:12.884Z] Telemetry Appended: Heap=126.49MB, Ping P99=1.60ms, Snap P99=1.37ms
[2026-06-24T08:49:12.882Z] Telemetry Appended: Heap=126.56MB, Ping P99=1.71ms, Snap P99=1.52ms
[2026-06-24T08:50:12.888Z] Telemetry Appended: Heap=126.61MB, Ping P99=1.55ms, Snap P99=1.73ms
[2026-06-24T08:51:12.891Z] Telemetry Appended: Heap=126.66MB, Ping P99=1.74ms, Snap P99=1.68ms
[2026-06-24T08:52:12.894Z] Telemetry Appended: Heap=126.70MB, Ping P99=1.50ms, Snap P99=1.68ms
[2026-06-24T08:53:12.896Z] Telemetry Appended: Heap=126.75MB, Ping P99=1.77ms, Snap P99=1.76ms
[2026-06-24T08:54:12.896Z] Telemetry Appended: Heap=126.79MB, Ping P99=1.47ms, Snap P99=1.65ms
[2026-06-24T08:55:12.900Z] Telemetry Appended: Heap=126.84MB, Ping P99=1.29ms, Snap P99=1.79ms
[2026-06-24T08:56:12.902Z] Telemetry Appended: Heap=126.89MB, Ping P99=1.71ms, Snap P99=1.70ms
[2026-06-24T08:57:12.907Z] Telemetry Appended: Heap=126.95MB, Ping P99=1.72ms, Snap P99=1.95ms
[2026-06-24T08:58:12.907Z] Telemetry Appended: Heap=127.00MB, Ping P99=1.73ms, Snap P99=2.01ms
[2026-06-24T08:59:12.911Z] Telemetry Appended: Heap=127.04MB, Ping P99=1.76ms, Snap P99=2.02ms
[2026-06-24T09:00:12.916Z] Telemetry Appended: Heap=127.09MB, Ping P99=1.67ms, Snap P99=1.66ms
[2026-06-24T09:01:12.919Z] Telemetry Appended: Heap=127.16MB, Ping P99=1.67ms, Snap P99=1.50ms
[2026-06-24T09:02:12.922Z] Telemetry Appended: Heap=127.18MB, Ping P99=1.69ms, Snap P99=1.56ms
[2026-06-24T09:03:12.921Z] Telemetry Appended: Heap=127.23MB, Ping P99=1.74ms, Snap P99=1.74ms
[2026-06-24T09:04:12.928Z] Telemetry Appended: Heap=127.27MB, Ping P99=1.75ms, Snap P99=2.08ms
[2026-06-24T09:05:12.932Z] Telemetry Appended: Heap=127.31MB, Ping P99=1.60ms, Snap P99=1.65ms
[2026-06-24T09:06:12.934Z] Telemetry Appended: Heap=127.37MB, Ping P99=1.66ms, Snap P99=1.62ms
[2026-06-24T09:07:12.936Z] Telemetry Appended: Heap=127.41MB, Ping P99=1.70ms, Snap P99=1.92ms
[2026-06-24T09:08:12.933Z] Telemetry Appended: Heap=127.48MB, Ping P99=1.66ms, Snap P99=1.64ms
[2026-06-24T09:09:12.937Z] Telemetry Appended: Heap=127.49MB, Ping P99=1.45ms, Snap P99=1.27ms
[2026-06-24T09:10:12.942Z] Telemetry Appended: Heap=128.28MB, Ping P99=1.58ms, Snap P99=1.59ms
[2026-06-24T09:11:12.944Z] Telemetry Appended: Heap=128.33MB, Ping P99=1.63ms, Snap P99=1.98ms
[2026-06-24T09:12:12.946Z] Telemetry Appended: Heap=128.36MB, Ping P99=1.71ms, Snap P99=1.87ms
[2026-06-24T09:13:12.950Z] Telemetry Appended: Heap=128.37MB, Ping P99=1.73ms, Snap P99=1.86ms
[2026-06-24T09:14:12.955Z] Telemetry Appended: Heap=128.39MB, Ping P99=1.40ms, Snap P99=1.23ms
[2026-06-24T09:15:12.957Z] Telemetry Appended: Heap=128.41MB, Ping P99=1.79ms, Snap P99=1.58ms
[2026-06-24T09:16:12.959Z] Telemetry Appended: Heap=128.43MB, Ping P99=1.76ms, Snap P99=0.79ms
[2026-06-24T09:17:12.960Z] Telemetry Appended: Heap=128.45MB, Ping P99=1.58ms, Snap P99=1.26ms
[2026-06-24T09:18:12.964Z] Telemetry Appended: Heap=128.47MB, Ping P99=1.65ms, Snap P99=1.40ms
[2026-06-24T09:19:12.968Z] Telemetry Appended: Heap=128.54MB, Ping P99=1.50ms, Snap P99=1.22ms
[2026-06-24T09:20:12.973Z] Telemetry Appended: Heap=128.56MB, Ping P99=1.50ms, Snap P99=1.66ms
[2026-06-24T09:21:12.975Z] Telemetry Appended: Heap=128.58MB, Ping P99=1.66ms, Snap P99=1.87ms
[2026-06-24T09:22:12.976Z] Telemetry Appended: Heap=128.60MB, Ping P99=1.63ms, Snap P99=1.91ms
[2026-06-24T09:23:12.977Z] Telemetry Appended: Heap=128.60MB, Ping P99=1.74ms, Snap P99=1.86ms
[2026-06-24T09:24:12.980Z] Telemetry Appended: Heap=128.73MB, Ping P99=1.42ms, Snap P99=1.41ms
[2026-06-24T09:25:12.983Z] Telemetry Appended: Heap=128.76MB, Ping P99=1.63ms, Snap P99=1.12ms
[2026-06-24T09:26:12.983Z] Telemetry Appended: Heap=128.82MB, Ping P99=1.68ms, Snap P99=1.46ms
[2026-06-24T09:27:12.990Z] Telemetry Appended: Heap=128.83MB, Ping P99=1.48ms, Snap P99=1.39ms
[2026-06-24T09:28:12.993Z] Telemetry Appended: Heap=128.86MB, Ping P99=1.71ms, Snap P99=1.28ms
[2026-06-24T09:29:12.995Z] Telemetry Appended: Heap=128.89MB, Ping P99=1.69ms, Snap P99=1.28ms
[2026-06-24T09:30:12.996Z] Telemetry Appended: Heap=128.92MB, Ping P99=1.57ms, Snap P99=1.13ms
[2026-06-24T09:31:12.999Z] Telemetry Appended: Heap=128.98MB, Ping P99=1.57ms, Snap P99=1.46ms
[2026-06-24T09:32:13.002Z] Telemetry Appended: Heap=128.98MB, Ping P99=1.41ms, Snap P99=1.38ms
[2026-06-24T09:33:13.007Z] Telemetry Appended: Heap=129.01MB, Ping P99=1.50ms, Snap P99=0.80ms
[2026-06-24T09:34:13.009Z] Telemetry Appended: Heap=129.03MB, Ping P99=1.59ms, Snap P99=1.74ms
[2026-06-24T09:35:13.012Z] Telemetry Appended: Heap=129.05MB, Ping P99=1.64ms, Snap P99=1.73ms
[2026-06-24T09:36:13.012Z] Telemetry Appended: Heap=129.08MB, Ping P99=1.56ms, Snap P99=1.32ms
[2026-06-24T09:37:13.016Z] Telemetry Appended: Heap=129.08MB, Ping P99=1.66ms, Snap P99=1.32ms
[2026-06-24T09:38:13.021Z] Telemetry Appended: Heap=129.11MB, Ping P99=1.25ms, Snap P99=1.20ms
[2026-06-24T09:39:13.025Z] Telemetry Appended: Heap=129.13MB, Ping P99=1.26ms, Snap P99=0.81ms
[2026-06-24T09:40:13.024Z] Telemetry Appended: Heap=129.15MB, Ping P99=1.62ms, Snap P99=1.09ms
[2026-06-24T09:41:13.025Z] Telemetry Appended: Heap=129.20MB, Ping P99=1.51ms, Snap P99=1.04ms
[2026-06-24T09:42:13.031Z] Telemetry Appended: Heap=129.23MB, Ping P99=1.63ms, Snap P99=1.83ms
[2026-06-24T09:43:13.034Z] Telemetry Appended: Heap=129.25MB, Ping P99=1.44ms, Snap P99=1.58ms
[2026-06-24T09:44:13.036Z] Telemetry Appended: Heap=129.24MB, Ping P99=1.33ms, Snap P99=1.38ms
[2026-06-24T09:45:13.037Z] Telemetry Appended: Heap=129.98MB, Ping P99=1.53ms, Snap P99=1.71ms
[2026-06-24T09:46:13.045Z] Telemetry Appended: Heap=129.95MB, Ping P99=1.62ms, Snap P99=1.69ms
[2026-06-24T09:47:13.048Z] Telemetry Appended: Heap=129.94MB, Ping P99=1.62ms, Snap P99=1.58ms
[2026-06-24T09:48:13.051Z] Telemetry Appended: Heap=129.93MB, Ping P99=1.57ms, Snap P99=1.29ms
[2026-06-24T09:49:13.053Z] Telemetry Appended: Heap=129.95MB, Ping P99=1.62ms, Snap P99=1.76ms
[2026-06-24T09:50:13.053Z] Telemetry Appended: Heap=129.95MB, Ping P99=1.25ms, Snap P99=1.02ms
[2026-06-24T09:51:13.056Z] Telemetry Appended: Heap=129.92MB, Ping P99=1.55ms, Snap P99=0.91ms
[2026-06-24T09:52:13.063Z] Telemetry Appended: Heap=129.90MB, Ping P99=1.58ms, Snap P99=1.39ms
[2026-06-24T09:53:13.063Z] Telemetry Appended: Heap=129.90MB, Ping P99=1.45ms, Snap P99=1.09ms
[2026-06-24T09:54:13.065Z] Telemetry Appended: Heap=129.88MB, Ping P99=1.66ms, Snap P99=1.37ms
[2026-06-24T09:55:13.065Z] Telemetry Appended: Heap=129.86MB, Ping P99=1.84ms, Snap P99=1.86ms
[2026-06-24T09:56:13.067Z] Telemetry Appended: Heap=129.79MB, Ping P99=1.63ms, Snap P99=1.61ms
[2026-06-24T09:57:13.072Z] Telemetry Appended: Heap=130.53MB, Ping P99=1.65ms, Snap P99=1.61ms
[2026-06-24T09:58:13.072Z] Telemetry Appended: Heap=130.51MB, Ping P99=1.58ms, Snap P99=1.82ms
[2026-06-24T09:59:13.073Z] Telemetry Appended: Heap=130.51MB, Ping P99=1.27ms, Snap P99=1.66ms
[2026-06-24T10:00:13.080Z] Telemetry Appended: Heap=130.49MB, Ping P99=1.28ms, Snap P99=1.30ms
[2026-06-24T10:01:13.085Z] Telemetry Appended: Heap=130.47MB, Ping P99=1.36ms, Snap P99=1.07ms
[2026-06-24T10:02:13.088Z] Telemetry Appended: Heap=130.45MB, Ping P99=1.61ms, Snap P99=1.23ms
[2026-06-24T10:03:13.088Z] Telemetry Appended: Heap=130.44MB, Ping P99=1.70ms, Snap P99=1.35ms
[2026-06-24T10:04:13.088Z] Telemetry Appended: Heap=130.40MB, Ping P99=1.56ms, Snap P99=1.26ms
[2026-06-24T10:05:13.092Z] Telemetry Appended: Heap=130.32MB, Ping P99=1.57ms, Snap P99=1.01ms
[2026-06-24T10:06:13.095Z] Telemetry Appended: Heap=130.27MB, Ping P99=1.51ms, Snap P99=1.70ms
[2026-06-24T10:07:13.099Z] Telemetry Appended: Heap=130.97MB, Ping P99=1.54ms, Snap P99=1.28ms
[2026-06-24T10:08:13.099Z] Telemetry Appended: Heap=130.92MB, Ping P99=1.68ms, Snap P99=1.68ms
