timestamp,heap_used_mb,rss_mb,fd_count,active_handles,active_requests,history_length,snapshot_count,harvest_count,event_loop_lag_ms,uptime_seconds,history_file_size_mb,audit_file_size_mb,ping_p99_ms,snapshot_latency_p99_ms
2026-06-24T08:27:09.176Z,129.09,238.77,25,3,0,1006,5,1,0.47,60,0.70,0.00,2.42,19.21
2026-06-24T08:28:09.178Z,125.87,237.65,25,3,0,1014,11,3,1.35,120,0.70,0.00,2.25,9.23
2026-06-24T08:28:12.830Z,124.67,225.76,26,3,0,1016,0,0,1.68,60,0.71,0.00,2.37,1.48
2026-06-24T08:29:09.180Z,134.53,244.91,25,3,0,1022,17,5,0.55,180,0.71,0.00,2.37,5.20
2026-06-24T08:29:12.831Z,125.06,225.76,26,3,0,1024,0,0,1.24,120,0.71,0.00,2.06,1.95
2026-06-24T08:30:09.180Z,129.63,244.52,25,3,0,1030,23,7,1.87,240,0.71,0.00,2.14,20.27
2026-06-24T08:30:12.833Z,125.39,225.76,26,3,0,1032,0,0,1.28,180,0.71,0.00,2.17,2.27
2026-06-24T08:31:09.186Z,123.65,242.12,25,3,0,1038,29,9,0.92,300,0.71,0.00,5.50,5.66
2026-06-24T08:31:12.836Z,125.74,225.76,26,3,0,1040,0,0,1.93,240,0.71,0.00,2.26,2.27
2026-06-24T08:32:09.191Z,132.39,249.31,25,3,0,1046,35,11,1.07,360,0.72,0.00,2.12,10.99
2026-06-24T08:32:12.839Z,125.21,225.76,26,3,0,1048,0,0,1.63,300,0.72,0.00,2.70,2.41
2026-06-24T08:33:09.192Z,130.01,245.95,25,3,0,1054,41,13,0.86,420,0.72,0.00,2.12,6.41
2026-06-24T08:33:12.842Z,125.54,225.95,26,3,0,1056,0,0,0.64,360,0.72,0.00,2.19,2.33
2026-06-24T08:34:09.193Z,125.42,242.15,25,3,0,1062,47,15,0.63,480,0.72,0.00,1.97,5.30
2026-06-24T08:34:12.848Z,125.86,225.95,26,3,0,1064,0,0,1.01,420,0.72,0.00,2.04,2.13
2026-06-24T08:35:09.195Z,134.05,249.41,25,3,0,1070,53,17,1.25,540,0.72,0.00,1.83,30.76
2026-06-24T08:35:12.848Z,126.33,226.14,26,3,0,1072,0,0,1.49,480,0.73,0.00,2.09,3.12
2026-06-24T08:36:09.198Z,130.10,246.40,24,2,0,1078,59,19,1.13,600,0.73,0.00,4.97,6.22
2026-06-24T08:36:12.846Z,126.09,226.14,25,2,0,1080,0,0,1.10,540,0.73,0.00,2.00,1.89
2026-06-24T08:37:09.201Z,125.46,242.44,24,2,0,1086,65,21,1.22,660,0.73,0.00,1.98,6.95
2026-06-24T08:37:12.850Z,126.34,226.14,25,2,0,1088,0,0,1.30,600,0.73,0.00,1.75,2.14
2026-06-24T08:38:09.202Z,134.13,249.65,24,2,0,1094,71,23,1.33,720,0.73,0.00,1.75,5.03
2026-06-24T08:38:12.855Z,126.58,226.14,25,2,0,1096,0,0,1.44,660,0.73,0.00,1.79,2.19
2026-06-24T08:39:09.202Z,130.17,246.26,24,2,0,1102,77,25,1.31,780,0.74,0.00,1.66,6.42
2026-06-24T08:39:12.856Z,126.80,226.32,25,2,0,1104,0,0,1.12,720,0.74,0.00,1.85,2.04
2026-06-24T08:40:09.210Z,125.50,242.28,24,2,0,1110,83,27,1.34,840,0.74,0.00,1.76,6.37
2026-06-24T08:40:12.855Z,126.20,226.32,25,2,0,1112,0,0,1.09,780,0.74,0.00,1.75,1.90
2026-06-24T08:41:09.212Z,134.95,250.30,24,2,0,1118,89,29,1.09,900,0.74,0.00,1.75,6.56
2026-06-24T08:41:12.860Z,126.39,226.32,25,2,0,1120,0,0,1.10,840,0.74,0.00,1.74,1.61
2026-06-24T08:42:09.214Z,130.20,246.16,24,2,0,1126,95,31,1.09,960,0.74,0.00,1.87,6.20
2026-06-24T08:42:12.865Z,126.60,226.32,25,2,0,1128,0,0,1.10,900,0.75,0.00,1.79,1.81
2026-06-24T08:43:09.215Z,125.52,242.14,24,2,0,1134,101,33,1.19,1020,0.75,0.00,1.74,7.14
2026-06-24T08:43:12.867Z,126.81,226.32,26,3,0,1136,0,0,2.23,960,0.75,0.00,1.73,1.74
2026-06-24T08:44:09.215Z,135.02,250.12,24,2,0,1142,107,35,1.19,1080,0.75,0.00,1.78,7.67
2026-06-24T08:44:12.869Z,126.97,226.32,25,2,0,1144,0,0,1.14,1020,0.75,0.00,1.79,1.97
2026-06-24T08:45:09.221Z,130.24,246.13,24,2,0,1150,113,37,1.29,1140,0.75,0.00,1.91,7.07
2026-06-24T08:45:12.872Z,126.38,226.32,26,3,0,1152,0,0,1.09,1080,0.75,0.00,1.77,1.91
2026-06-24T08:46:09.224Z,125.55,242.30,24,2,0,1158,119,39,1.11,1200,0.76,0.00,1.92,7.74
2026-06-24T08:46:12.878Z,126.40,226.32,25,2,0,1160,0,0,1.34,1140,0.76,0.00,1.74,1.71
2026-06-24T08:47:09.225Z,135.08,250.16,24,2,0,1166,125,41,1.10,1260,0.76,0.00,1.85,6.39
2026-06-24T08:47:12.880Z,126.44,226.32,25,2,0,1168,0,0,1.17,1200,0.76,0.00,1.73,1.77
2026-06-24T08:48:09.228Z,130.35,246.17,24,2,0,1174,131,43,1.15,1320,0.76,0.00,1.75,6.72
2026-06-24T08:48:12.884Z,126.49,226.32,25,2,0,1176,0,0,1.36,1260,0.76,0.00,1.60,1.37
2026-06-24T08:49:09.229Z,125.61,242.22,24,2,0,1182,137,45,1.25,1380,0.77,0.00,1.75,6.23
2026-06-24T08:49:12.882Z,126.56,226.32,25,2,0,1184,0,0,1.08,1320,0.77,0.00,1.71,1.52
2026-06-24T08:50:09.233Z,135.24,250.45,24,2,0,1190,143,47,1.32,1440,0.77,0.00,1.59,5.83
2026-06-24T08:50:12.888Z,126.61,226.32,25,2,0,1192,0,0,1.09,1380,0.77,0.00,1.55,1.73
2026-06-24T08:51:09.235Z,131.22,246.91,24,2,0,1198,149,49,1.32,1500,0.77,0.00,1.69,5.43
2026-06-24T08:51:12.891Z,126.66,226.32,25,2,0,1200,0,0,1.09,1440,0.77,0.00,1.74,1.68
2026-06-24T08:52:09.235Z,125.69,242.18,24,2,0,1206,155,51,1.23,1560,0.77,0.00,1.77,5.23
2026-06-24T08:52:12.894Z,126.70,226.32,25,2,0,1208,0,0,1.08,1500,0.77,0.00,1.50,1.68
2026-06-24T08:53:09.235Z,136.87,251.77,24,2,0,1214,161,53,1.08,1620,0.78,0.00,1.68,5.32
2026-06-24T08:53:12.896Z,126.75,226.51,25,2,0,1216,0,0,1.10,1560,0.78,0.00,1.77,1.76
2026-06-24T08:54:09.242Z,130.48,246.21,24,2,0,1222,167,55,1.15,1680,0.78,0.00,1.43,6.72
