path,fanIn,fanOut,blastRadius,confidence
src/types/schema.ts,110,0,0,1
src/core/GraphModel.ts,57,3,3,0.56
src/core/analysis/types.ts,41,2,6,0.43
src/utils/Logger.ts,42,0,0,0.43
src/core/simulation/SimulationSnapshot.ts,37,3,3,0.4
src/core/reasoning/snapshot/ReasoningSnapshot.ts,36,1,1,0.39
crypto,32,0,0,0.35
src/core/simulation/state/SimulationState.ts,32,0,0,0.35
src/core/reasoning/rules/Rule.ts,30,1,2,0.34
src/core/validation/ValidationContext.ts,25,3,4,0.3
src/core/reasoning/evidence/Evidence.ts,24,0,0,0.28
src/core/ProjectMetadata.ts,17,2,2,0.23
src/core/reasoning/evidence/ArchitecturalEvidence.ts,18,0,0,0.23
src/core/simulation/scenario/SimulationScenario.ts,16,1,1,0.22
src/core/FileScanner.ts,15,4,4,0.21
src/core/RuleEngine.ts,15,0,0,0.21
src/core/simulation/scenario/SimulationScenarioType.ts,15,0,0,0.21
src/core/SymbolIndex.ts,14,2,2,0.2
src/core/simulation/state/SimulationTransition.ts,12,2,3,0.19
src/core/simulation/state/StateTransitionEngine.ts,11,5,9,0.19
src/core/ir/models/SemanticTypes.ts,11,0,0,0.17
src/core/PhaseManager.ts,10,0,0,0.17
src/core/simulation/propagation/SimulationRuleEngine.ts,9,9,13,0.17
src/core/simulation/scenario/RecoveryEventType.ts,10,0,0,0.17
src/extension.ts,3,22,70,0.17
src/core/ir/models/GeneratorInterfaces.ts,9,2,5,0.16
src/core/reporting/OnboardingAnalyzer.ts,9,4,8,0.16
src/webview/CanvasPanel.ts,3,27,65,0.16
release_note/architecture.md,9,0,0,0.15
src/bootstrap/BootstrapEngine.ts,4,28,51,0.15
src/core/reasoning/answers/Answer.ts,9,2,3,0.15
src/core/simulation/propagation/rules/DependencyRemovedRealRule.ts,8,9,11,0.15
src/types/metrology.ts,9,0,0,0.15
demo/canvas-engine.js,8,0,0,0.13
src/core/reasoning/analysis/AuthorityAnalyzer.ts,7,3,7,0.13
src/core/simulation/propagation/recovery/RecoveryRuleEngine.ts,7,7,10,0.13
src/core/simulation/propagation/recovery/rules/DependencyRestoredRealRule.ts,7,6,7,0.13
src/core/simulation/scenario/ValidationEventType.ts,8,0,0,0.13
src/core/analysis/intent/IntentEdge.ts,7,0,0,0.12
src/core/CommunityDetector.ts,7,1,4,0.12
src/core/simulation/scenario/RecoveryScenario.ts,7,1,1,0.12
src/core/simulation/scenario/ValidationScenario.ts,7,1,1,0.12
src/core/simulation/SimulationScopeResolver.ts,7,1,4,0.12
src/core/analysis/semantic/ProjectContextDetector.ts,7,0,0,0.12
src/core/simulation/SimulationProjectionBuilder.ts,6,3,5,0.11
src/core/validation/ValidationEngine.ts,5,7,15,0.11
src/core/analysis/patterns/PatternDetector.ts,6,2,4,0.11
mile_stone/v0.2.17.md,0,9,61,0.1
src/cli/ProjectAnalyzer.ts,5,6,11,0.1
src/core/analysis/intent/ReasonedReportBundle.ts,6,3,3,0.1
src/core/DataPipeline.ts,2,26,41,0.1
src/core/GeminiParser.ts,6,3,3,0.1
src/core/reasoning/analyzers/ArchitecturalVocabulary.ts,6,0,0,0.1
src/core/reasoning/signal/SignalFinding.ts,6,0,0,0.1
src/core/simulation/propagation/PropagationTraceEdge.ts,6,0,0,0.1
src/core/simulation/propagation/validation/ValidationRuleEngine.ts,5,6,9,0.1
src/core/simulation/state/FailureCauseRegistry.ts,6,1,1,0.1
README.md,5,2,2,0.09
src/core/benchmark/BenchmarkHarness.ts,1,11,41,0.09
src/core/canvas-engine/StateManager.ts,4,6,12,0.09
src/core/collaboration/IdentityManager.ts,5,1,1,0.09
src/core/collaboration/SessionManager.ts,5,4,4,0.09
src/core/reasoning/builder/ArchitecturalEvidenceBuilder.ts,5,2,5,0.09
src/core/reasoning/builders/ArchitecturalReasoningModelBuilder.ts,4,8,13,0.09
src/core/reporting/ReportBundleGenerator.ts,4,7,16,0.09
src/core/simulation/propagation/validation/rules/ValidationPassedRealRule.ts,5,4,4,0.09
src/core/transaction/ProjectStateSerializer.ts,5,1,4,0.09
src/core/analysis/analyzers/BoundaryAnalyzer.ts,4,3,6,0.08
src/core/analysis/analyzers/BoundaryGraphBuilder.ts,4,3,7,0.08
src/core/analysis/intent/EvidenceIR.ts,5,0,0,0.08
src/core/analysis/reasoning/TarjanSCC.ts,4,4,8,0.08
src/core/canvas-engine/CanvasEngine.ts,3,7,16,0.08
src/core/GhostExpander.ts,4,4,10,0.08
src/core/ReferenceResolver.ts,4,5,9,0.08
src/core/simulation/scenario/validation/SimulationScenarioPolicy.ts,4,3,7,0.08
src/core/simulation/scenario/validation/SimulationScenarioValidationResult.ts,5,0,0,0.08
src/core/SnapshotSystem.ts,4,5,9,0.08
README.ko.md,4,2,2,0.07
scripts/run_reasoning_on_real_graph.ts,0,27,45,0.07
src/core/canvas-engine/RenderProtocol.ts,4,0,0,0.07
src/core/collaboration/AccountManager.ts,4,3,3,0.07
src/core/ControlSystem.ts,3,3,9,0.07
src/core/FailurePropagator.ts,4,1,1,0.07
src/core/GraphAnalyzer.ts,4,2,4,0.07
src/core/LayoutEngine.ts,4,2,5,0.07
src/core/NodeBuilder.ts,3,4,9,0.07
src/core/reasoning/signal/extractors/BasicSignalExtractor.ts,4,3,3,0.07
src/core/reasoning/signal/SignalRegistry.ts,4,4,4,0.07
src/core/reasoning/signal/SignalStatisticsGenerator.ts,4,1,1,0.07
src/core/simulation/evidence/SimulationEvidenceType.ts,4,0,0,0.07
src/core/simulation/propagation/PropagationContext.ts,4,0,0,0.07
src/core/simulation/propagation/PropagationImpact.ts,4,1,1,0.07
