dir,q4Loss,q5Loss,childCount,depth,internalRatio,q4Concentration,q5Concentration
src/vs,1,1,7103,2,1,1,1
src/vs/base/browser,0.125,0.0645,105,4,0.10228146629069469,0.03333333333333333,0
src/vs/base,0.6364,0.0645,460,3,0.07372851073966728,0.5333333333333333,0
src/vs/base/common,0.5366,0,151,4,0.02168920643021179,0.4666666666666667,0
src/vs/base/node,0,0,20,4,0.036458333333333336,0,0
src/vs/base/parts,0,0,37,4,0.10024449877750612,0,0
src/vs/base/test,0.0645,0,147,4,0.09210526315789473,0.03333333333333333,0
src/vs/code/browser,0,0,1,4,0,0,0
src/vs/code,0,0.0645,18,3,0.021937842778793418,0,0.06666666666666667
src/vs/code/electron-browser,0,0,1,4,0,0,0
src/vs/code/electron-main,0,0,2,4,0.004694835680751174,0,0.03333333333333333
src/vs/code/electron-utility,0,0,9,4,0.038834951456310676,0,0.03333333333333333
src/vs/code/node,0,0,3,4,0.010526315789473684,0,0
src/vs/code/test,0,0,2,4,0,0,0
src/vs/editor/browser,0.0645,0.0645,147,4,0.16893632683106366,0,0
src/vs/editor,0.125,0.1818,852,3,0.43083550065019505,0.06666666666666667,0.03333333333333333
src/vs/editor/common,0.125,0.0645,224,4,0.1565134404326388,0.06666666666666667,0
src/vs/editor/contrib,0,0.0645,329,4,0.13954918032786887,0,0
src/vs/editor/standalone,0,0,29,4,0.10304449648711944,0,0.03333333333333333
src/vs/editor/test,0,0.0645,119,4,0.08795811518324607,0,0
src/vs/platform/accessibility,0,0,6,4,0.0136986301369863,0,0
src/vs/platform,0.5366,0.125,1776,3,0.2342252110459293,0.3333333333333333,0.1
src/vs/platform/accessibilitySignal,0,0,2,4,0.014084507042253521,0,0
src/vs/platform/action,0,0,2,4,0.005988023952095809,0,0
src/vs/platform/actionWidget,0,0,7,4,0.03825136612021858,0,0
src/vs/platform/actions,0.0645,0,14,4,0.01951219512195122,0.03333333333333333,0
src/vs/platform/agentHost,0.0645,0.125,1025,4,0.6121965660153937,0,0.1
src/vs/platform/agentPlugins,0,0,2,4,0.02702702702702703,0,0
src/vs/platform/assignment,0,0,1,4,0,0,0
src/vs/platform/auxiliaryWindow,0,0,3,4,0.08823529411764706,0,0
src/vs/platform/backup,0,0,5,4,0.15517241379310345,0,0
src/vs/platform/browserView,0,0,34,4,0.2814814814814815,0,0
src/vs/platform/checksum,0,0,3,4,0.1111111111111111,0,0
src/vs/platform/clipboard,0,0,3,4,0.01652892561983471,0,0
src/vs/platform/commands,0,0,3,4,0.004273504273504274,0.03333333333333333,0
src/vs/platform/configuration,0.0645,0,12,4,0.014781491002570694,0.03333333333333333,0
src/vs/platform/contextkey,0.0645,0,8,4,0.00872093023255814,0.03333333333333333,0
src/vs/platform/contextview,0,0,4,4,0.013468013468013467,0,0
src/vs/platform/cssDev,0,0,1,4,0,0,0
src/vs/platform/dataChannel,0,0,2,4,0.058823529411764705,0,0
src/vs/platform/debug,0,0,3,4,0.10714285714285714,0,0
src/vs/platform/defaultAccount,0,0,1,4,0,0,0
src/vs/platform/diagnostics,0,0,4,4,0.04918032786885246,0,0
src/vs/platform/dialogs,0,0,5,4,0.008823529411764706,0,0
src/vs/platform/dnd,0,0,1,4,0,0,0
src/vs/platform/domWidget,0,0,1,4,0,0,0
src/vs/platform/download,0,0,3,4,0.06060606060606061,0,0
src/vs/platform/editor,0,0,2,4,0.005405405405405406,0,0
src/vs/platform/encryption,0,0,2,4,0.07142857142857142,0,0
src/vs/platform/endpoint,0,0,1,4,0,0,0
src/vs/platform/environment,0,0,15,4,0.058823529411764705,0,0
src/vs/platform/extensionManagement,0,0,38,4,0.10684931506849316,0,0
src/vs/platform/extensionRecommendations,0,0,2,4,0.05263157894736842,0,0
src/vs/platform/extensionResourceLoader,0,0,3,4,0.03389830508474576,0,0
src/vs/platform/extensions,0,0,7,4,0.013227513227513227,0,0
src/vs/platform/externalServices,0,0,2,4,0.041666666666666664,0,0
src/vs/platform/externalTerminal,0,0,5,4,0.1724137931034483,0,0
src/vs/platform/files,0.0645,0,36,4,0.06280587275693311,0.03333333333333333,0
src/vs/platform/git,0,0,3,4,0.14285714285714285,0,0
src/vs/platform/history,0,0,2,4,0,0,0
src/vs/platform/hover,0,0,6,4,0.022151898734177215,0,0
src/vs/platform/imageResize,0,0,2,4,0.07692307692307693,0,0
src/vs/platform/instantiation,0.0645,0,9,4,0.0071860816944024205,0.03333333333333333,0
src/vs/platform/ipc,0,0,4,4,0.044444444444444446,0,0
